Latitude	Longitude	Elevation (metres)	Distance (KMs)	Gradient
-27.03399	28.62111	1518	449.732	3
-27.03349	28.62064	1520	449.805	-1
-27.03299	28.62017	1519	449.877	-2
-27.03274	28.61993	1518	449.914	-4
-27.032187	28.61943	1515	449.993	0
-27.031633	28.61893	1515	450.072	1
-27.03108	28.61843	1516	450.151	1
-27.030545	28.61795	1517	450.228	-1
-27.03001	28.61747	1516	450.304	-1
-27.02945	28.61696	1515	450.384	0
-27.02909	28.61664	1515	450.435	-1
-27.02845	28.616048	1514	450.528	-3
-27.02781	28.615455	1511	450.62	-1
-27.02717	28.614863	1510	450.712	-2
-27.02653	28.61427	1508	450.805	-1
-27.025975	28.613755	1507	450.885	0
-27.02542	28.61324	1507	450.965	-1
-27.02516	28.61301	1506	451.002	0
-27.02516	28.613	1507	451.003	0
-27.02514	28.61299	1507	451.005	1
-27.02499	28.61285	1507	451.027	0
-27.02484	28.61271	1507	451.049	0
-27.02469	28.61257	1507	451.07	0
-27.02419	28.61211	1507	451.142	-1
-27.02369	28.61165	1506	451.214	-2
-27.02341	28.6114	1505	451.254	-2
-27.022785	28.610825	1503	451.344	-3
-27.02216	28.61025	1500	451.434	-3
-27.02209	28.61019	1500	451.444	-3
-27.02209	28.61018	1500	451.445	-3
-27.02207	28.61017	1500	451.447	-4
-27.02205	28.61014	1500	451.451	-4
-27.02194	28.61004	1499	451.467	-4
-27.02159	28.60972	1497	451.517	-4
-27.020915	28.609105	1493	451.614	-1
-27.02024	28.60849	1492	451.71	2
-27.01962	28.60793	1494	451.799	2
-27.019	28.60737	1496	451.888	3
-27.01898	28.60729	1497	451.896	3
-27.01897	28.60727	1497	451.898	2
-27.01895	28.60725	1497	451.901	1
-27.01891	28.60721	1497	451.907	1
-27.01832	28.60678	1498	451.985	1
-27.01818	28.60669	1498	452.003	1
-27.01811	28.60663	1498	452.013	2
-27.01777	28.60641	1499	452.057	2
-27.01768	28.60636	1499	452.068	1
-27.01751	28.60627	1499	452.089	0
-27.01746	28.60624	1499	452.095	0
-27.01689	28.60596	1499	452.165	1
-27.01632	28.60568	1500	452.234	2
-27.01586	28.60548	1501	452.289	3
-27.0157	28.6054	1502	452.308	3
-27.01551	28.60532	1502	452.331	3
-27.01514	28.60516	1504	452.375	3
-27.014503	28.60488	1506	452.451	1
-27.013867	28.6046	1507	452.527	3
-27.01323	28.60432	1509	452.603	5
-27.012455	28.603965	1514	452.696	1
-27.01168	28.60361	1515	452.79	2
-27.01152	28.60353	1516	452.809	1
-27.01132	28.60344	1516	452.833	0
-27.01054	28.603115	1516	452.926	2
-27.00976	28.60279	1518	453.018	4
-27.00918	28.60254	1521	453.088	7
-27.00859	28.60228	1526	453.158	6
-27.00836	28.60218	1527	453.186	4
-27.00772	28.60189	1530	453.262	4
-27.00726	28.60166	1532	453.318	4
-27.00716	28.6016	1533	453.331	2
-27.00694	28.60147	1533	453.359	0
-27.00679	28.60138	1533	453.378	0
-27.006395	28.60113	1533	453.428	0
-27.006	28.60088	1533	453.479	-2
-27.00556	28.60061	1532	453.534	-2
-27.004915	28.600205	1530	453.617	0
-27.00427	28.5998	1530	453.699	-2
-27.00355	28.599357	1528	453.79	0
-27.00283	28.598913	1528	453.882	-2
-27.00211	28.59847	1526	453.973	-2
-27.00184	28.5983	1525	454.008	-3
-27.001115	28.597863	1522	454.099	-1
-27.00039	28.597425	1521	454.191	-3
-26.999665	28.596988	1518	454.283	-3
-26.99894	28.59655	1515	454.374	2
-26.99852	28.59629	1516	454.428	2
-26.99787	28.595897	1518	454.51	0
