Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-27.04959,27.55178,1460,951.61,0
-27.04886,27.55203,1460,951.695,1
-27.048285,27.55223,1461,951.762,-1
-27.04771,27.55243,1460,951.829,-2
-27.04754,27.55248,1459,951.848,0
-27.04725,27.55259,1460,951.882,0
-27.04665,27.552795,1460,951.952,-1
-27.04605,27.553,1459,952.022,0
-27.04531,27.55325,1459,952.108,1
-27.044575,27.55352,1460,952.194,0
-27.04384,27.55379,1460,952.28,0
-27.04369,27.55384,1460,952.298,1
-27.04291,27.5541,1461,952.388,0
-27.042425,27.55427,1461,952.445,0
-27.04194,27.55444,1461,952.501,0
-27.04139,27.55463,1461,952.565,0
-27.04084,27.55482,1461,952.63,-1
-27.040187,27.55504,1460,952.705,0
-27.039535,27.55526,1460,952.781,1
-27.038883,27.55548,1461,952.857,1
-27.03823,27.5557,1462,952.933,0
-27.03754,27.555944,1462,953.013,0
-27.03685,27.556188,1462,953.094,-1
-27.03616,27.556432,1461,953.175,0
-27.03547,27.556676,1461,953.255,1
-27.03478,27.55692,1462,953.336,1
-27.03419,27.557123,1463,953.404,1
-27.0336,27.557327,1464,953.473,-1
-27.03301,27.55753,1463,953.542,0
-27.03233,27.55777,1463,953.621,1
-27.03156,27.55803,1464,953.711,1
-27.030937,27.558247,1465,953.783,-3
-27.030313,27.558463,1463,953.856,-1
-27.02969,27.55868,1462,953.928,0
-27.029175,27.558855,1462,953.988,0
-27.02866,27.55903,1462,954.048,-1
-27.02824,27.55917,1461,954.097,0
-27.027445,27.55944,1461,954.189,-2
-27.02665,27.55971,1459,954.282,-2
-27.02648,27.55977,1459,954.302,-2
-27.02638,27.5598,1458,954.313,-1
-27.025617,27.56007,1457,954.402,0
-27.024853,27.56034,1457,954.491,0
-27.02409,27.56061,1457,954.581,0
-27.02356,27.5608,1457,954.643,0
-27.02322,27.56092,1457,954.682,1
-27.02295,27.56101,1458,954.714,3
-27.02231,27.561225,1460,954.788,1
-27.02167,27.56144,1461,954.862,1
-27.02099,27.561675,1462,954.941,1
-27.02031,27.56191,1463,955.021,3
-27.01963,27.562145,1465,955.1,3
-27.01895,27.56238,1467,955.179,0
